chinese,english
深吸一口气,taking a deep breath
就我们自己而言,on our own
美洲羚羊,american antelope
死者，丧亲之人,bereaved
接受，理解,take in
老兵,veterans
累积，累加,cumulative
生效,take effect
脸颊,cheek
睫毛,eyelash
赞助音乐,to championing music
面对挑战,face a challenge
产生我们想象不到的影响,can be bigger than we imagine
紫罗兰,violet
字面意思是,literally means
窗帘,curtain
能不能小声点,would you mind making less noise
过去的种种已经迷失,much that once was is lost
记事之人早已作古,for none now live who remember it
拇指,thumb
食指,forefinger
中指,middle finger
无名指,ring finger
小指，尾指,pinkie
使嵌入，使铭记,embed
太冒险了,too risky
乌鸦,crow
黄蜂,wasp/hornet
亚麻布,linen
棉,cotton
统治，控制，支配,govern
鸽子,pigeon
纤维,fibre
恶意，恶毒的,malice
震惊,shocked
残忍残酷,cruelty
精灵铭文,elvish inscription
雕刻在戒指上,carving into the ring
在火焰中燃烧,erupt in flame
在恐惧中尖叫,screaming in fear
进军,march against
释放，放出,let loose
放箭,let loose arrows
一大群兽人,hordes of orcs
挥动,swing
举起剑来攻击,raises his sword to strike
耸立在他面前,towering above him
切下,slicing off
发出一个冲击波,sending a shockwave
喷出熔岩,spouts off lava
甩到一块巨石上,flings him against a rock
重重踩住,stomp on it
抓住刀柄,grabs the hilt
大叫一声,let out a cry
碎片,shards
慷慨大方,generosity
他将其视为一种象征,he took it as a sign
把剑毁坏,shattering the blade
自爆,implodes
行为,conduct
决心克服,determination to overcome
残疾,disability
崇拜和迷恋,admiration and fascination
作为律师的保留,preserve of lawyers
大量灌入，注入,poured into
尊严,dignity
被视为,has been viewed
机构,institutions
石柱,stone pillar
绝望的尝试,desperate attempt
新闻工作者,journalist
便捷的方法,convenient approach
灰烬,ash
微微闪烁,shimmers faintly
腐化堕落,corrupted
有自己的想法,has a will of it's own
被伏击,be ambushed by
摔倒，在地上打滚,tumble
拉断链子,jerks the chain off
认出，发现,spot
沉入河流深处,sinks into the depths of the river
天赐统治权的象征,a sign that his right to rule was divine
学习法律,legal learning
小马,colt
野马,mustang
贱入,splashes into
徒劳白费力气地,vainly
母鸡,hen
骡,mule
河马,hippopotamus
水牛,buffalo
挂在脖子上的链子上,on a chain around one's neck
打掉，打下,knocked off of
驴,donkey
泥潭,mud
消失，忘记，不见,passed out of
侵蚀，消耗,consumed
不自然的，超乎寻常的,unnatural
昏暗,gloom
悄然归来,crept back
叙述,narrat
隐蔽,take cover
我向你保证,you have my word
可以想象的,imaginable
决定全世界的命运,shape the fortunes of all
历法,reckoning
关于,concerning
毕竟,after all
不计其数,beyond count
美誉，享负盛名,renowned as
有人敲门,someone at the door
热情激情爱好,passion
一直不知所踪,passed out of all knowledge
穿戴者,bearer
谣言,rumor
耳语，私语,whispers
犀牛,rhinoceros
在即将到来的日子,for the time will soon come
有人曾说,it has been remarked by someone
它闪烁在充满泥土的手里,it glistens in that hand covered in mud
诱捕，跌入陷阱,ensnared
可以听到羽毛笔划痕的声音,quill scratching can be heard
然而意想不到的事情发生了,but something happened then someone did not intend
被最不可能的,by the most unlikely
揭示，展现,reveal
杂乱的,cluttered
散落的到处都是,strewn everywhere
在远处,in the distance
政治家,politician
在桌子上伏着身子,hunched over his desk
哲学家,philosopher
军事家,militarist
自治,autonomous
解释，解读,construed
评论,comment
蘸,dips in
物理学家,physicist
证据，迹象，证词,evidence
向后靠在座位上,leaning back into the seat
绳,rope
耙,raking
满足,content
意味着,imply
合资企业,joint venture
财产,possessions
方法，做法，举止,manner
直到一次偶然的机会,until when chance came
拉犁,pulling the plow
收紧绳子末端,tugs on the end of rope
熙熙攘攘的,bustling
照料他们的东西,tending to their stuff
运动神经元病的诊断,diagnosis with motor neurone disease
叫喊着,yelling
咯咯咯的笑,chucking
桶,barrels
果园,orchards
对。。。情有独钟,developed a keen in
烟斗,pipe
此断不公,a rather unfair observation
权利,entitlements
塞进,stuffs in
酿麦芽酒,brewing of ales
古怪,quaint
遗憾惋惜后悔,regret
十年,decade
有收获的,gainful
重获,regain
奋斗争斗冲突（名词）,strife
奋斗（动词）,strive
讨人喜爱的,adorable
毕业典礼,commencement
强硬的，艰苦的,tough
苛刻的，严厉的,harsh
强壮的，结实的,sturdy
粗燥的,rough
与世无争,quite content to ignore by the world of the big folk
我依然坚信,it is brought home to me
不要被野心卡住喉咙,be careful not to choke on your aspirations
让双手重叠,let two hands overlap
有点恼怒,slightly annoyed
倚坐在,sits beneath
精确地,precisely
无足轻重,must seen of little important
直至今天,but today of all days
拍动翅膀,flap wings
拍手,clap your hands
一些本不应该被遗忘的事化为尘埃,and some things that should not have been forgotten were lost
你的担心几乎没有必要,your concern is hardly warranted
交叉着双臂,crossing his arm
给你一个重新开始的机会,it is a chance for you to make a fresh start
我们离伟大就差一步,we were on the verge of greatness
我对政治从来不感兴趣,i have never had a luxury of political opinions
掌击，扇面,slap your face
华丽梦幻的,fancy
忠实的,faithful
交叉，相交,intersect
封条，密封,seal
陪伴，伴随,accompany
安心，宽慰,relief
点燃，引发,ignited
极妙的,terrific
极好的，惊人的,fabulous
信任信念信仰,faith
考古学,archaeology
供认，承认,confess
离开远点,stay away
老不死的（流氓）,old rascal
在一条河流上,over a stream
忍受,endure
瞬间,momentarily
喃喃自语,mutters
当提及。。。,when it comes to
如同硬币有正反面一样,as a coin has two sides
这根本不是理由,you can't talk your way around this
特别富丽堂皇，华丽,special magnificence
整个地方一片骚动,got the whole place in an uproar
出场，出现，不请自来,be turning up anyway
永恒，永生（名词）,eternity
着手，从事,embark on
拒绝，不给,withhold
摩擦力,friction
个体差异,individual different
但是我怀疑,but i wonder that
形影不离,was like peas and carrots
你若是遇上麻烦,if you are ever in trouble
密切,intentively
基于个人经历，关注的不同,depending on personal expeience and concern
持。。。的观点,hold the idea of
结论,conclusion
固定的,permanent
并行的（地）,parallel
如今，人们普遍认为,nowadays it is commonly believed that
那是一种内在的东西，他们到达不了，也无法触及，那是你的,there is something inside that they can't get to that they can't touch that's yours
你有没有为将来打算过呢,have you given any thought to your future
别这样对我,don't be a jerk to me
逮捕拘留,arrest
无能的虚弱的无效的,impotent
镇压,repress
穿着考究的,well-dressed
对我们来说。。。已经变得很明显了,it has become apparent to us that
这回答含糊其辞，难以信服,i find that answer vague and unconvincing
肥胖,obese
永恒的生命,eternal life
你有没有为将来打算过呢,have you given any thought to your future
敏感的,sensitive
稳定持久的,perpetual
大方的,generous
富有洞察力的，有深刻见解的,insightful
严肃的,serious
幽默的,humoured
情绪化的,moody
邋遢,scruffy
八字胡,moustache
咖啡壶,blender
铁桶,bucket
冲动的,impulsive
刻薄的,mean
不诚实的,dishonest
我喜欢你以前的样子,i like you the way you were
褐色发人,brunette
去哪里了？,where is it gone
背心口袋,vest pocket
把手放进去,places his hand in it
搞什么名堂,up to something
低高估,underestimate overestimate
神山,sacred mountains
恐慌极度激动,panic frenzy
理智的,sensible
深深的叹息,sighing deeply
瞥了一眼,give a sideways glance
一脸无辜,a look of innocence
没什么关系,barely involved
那正合他心意,that should please him
一直中规中矩,very well thought of
耀眼，使目眩,dazzle
对某人隐瞒,conseal from sb.
从此以后,hereafter
小羊羔,lamb
最近有些奇怪,has been a bit odd lately
垃圾杂物,litter
点燃,litten
猫头鹰,owl
鹿,deer
乌龟,turtle
猎豹,cheetah
丑陋恶心的,lousy
破房子,shabby house
繁荣的经济,booming economy
灌溉麦田,irrigate the wheat field
到处闯祸,go looking for trouble
我要像你一样就好了,i wish i could be more like you
地拖,broom
尽管哪怕就算,in spite of
随着什么的快速增长,with the rapid growth of
相反,on the contrary
没什么我是不能给你的,there is nothing i couldn't give you
呼喊，惊叫,exclaim
袋鼠,kangaroo
开垦荒地,reclaim the land
状态好的,better off
松鼠,squirrel
对你不理不睬,turn it's back on you
如果你指的是。。。事情的话,if you are refering to the incident with
某东西在日常生活中已经变得越来越重要,sth has become increasingly important in our daily life
为了了解真相,to understand the truth of
外表看,outwardly
装着，假装,assuming
假装，伪装,pretending
一阵（风）,a blast of
目的打算,purpose
射出爆出,goes off
蚕食,feast on
不赞成的表情,a disapproving look
愁眉苦脸,sour look
不准入内，闲人免进,no admittance
远亲,distant relations
盯着凝望凝视,stares at
闷闷不乐,mope around
蹲下,hunker down
油漆,lacquer
碎石废墟,rubble
跟踪,stalk
假释犯,parolee
求婚,propose
标点符号,punctuation
冰箱冷藏库,freezer
罐子缸，（啤酒）杯,jar
榨汁机,juicer
水壶,kettle
牛的总称，牲口,cattle
